item,itemLabel,offizielle_Website
http://www.wikidata.org/entity/Q678965,Technische Universität Kaiserslautern,https://www.uni-kl.de/en/
http://www.wikidata.org/entity/Q678965,Technische Universität Kaiserslautern,https://www.uni-kl.de/page-daccueil/
http://www.wikidata.org/entity/Q679134,Universität Paderborn,http://www.uni-paderborn.de
http://www.wikidata.org/entity/Q702482,Universität Bayreuth,https://www.uni-bayreuth.de/
http://www.wikidata.org/entity/Q702482,Universität Bayreuth,https://www.uni-bayreuth.de/en/
http://www.wikidata.org/entity/Q833822,Universität Kassel,http://www.uni-kassel.de/
http://www.wikidata.org/entity/Q875722,Staatliche Hochschule für Bildende Künste – Städelschule,http://www.staedelschule.de/
http://www.wikidata.org/entity/Q149433,Brandenburgische Technische Universität,http://www.b-tu.de/
http://www.wikidata.org/entity/Q154804,Universität Leipzig,https://www.uni-leipzig.de/
http://www.wikidata.org/entity/Q159630,Technische Universität Chemnitz,http://www.tu-chemnitz.de/
http://www.wikidata.org/entity/Q248702,Hochschule für Gestaltung Schwäbisch Gmünd,http://www.hfg-gmuend.de
http://www.wikidata.org/entity/Q248702,Hochschule für Gestaltung Schwäbisch Gmünd,http://www.hfg-gmuend.de/en/Latest_news.html
http://www.wikidata.org/entity/Q317053,Justus-Liebig-Universität Gießen,http://www.uni-giessen.de/
http://www.wikidata.org/entity/Q317053,Justus-Liebig-Universität Gießen,http://www.uni-giessen.de/welcome
http://www.wikidata.org/entity/Q317070,Universität Mannheim,https://www.uni-mannheim.de/
http://www.wikidata.org/entity/Q1305888,Muthesius Kunsthochschule,http://www.muthesius-kunsthochschule.de
http://www.wikidata.org/entity/Q468181,Hochschule für Musik Carl Maria von Weber Dresden,http://www.hfmdd.de
http://www.wikidata.org/entity/Q1391235,Fachhochschule Westküste,http://www.fh-westkueste.de/
http://www.wikidata.org/entity/Q513622,Musikhochschule Lübeck,http://www.mh-luebeck.de/
http://www.wikidata.org/entity/Q521612,Folkwang Universität der Künste,http://www.folkwang-uni.de/
http://www.wikidata.org/entity/Q530991,Helmut-Schmidt-Universität,https://www.hsu-hh.de/
http://www.wikidata.org/entity/Q1562772,HAWK Hochschule Hildesheim/Holzminden/Göttingen,http://www.hawk-hhg.de/
http://www.wikidata.org/entity/Q1607255,Stiftung Tierärztliche Hochschule Hannover,https://www.tiho-hannover.de/
http://www.wikidata.org/entity/Q678982,Leibniz Universität Hannover,https://www.uni-hannover.de/
http://www.wikidata.org/entity/Q1622079,Hochschule Biberach,http://www.hochschule-biberach.de/
http://www.wikidata.org/entity/Q1622083,Hochschule Bonn-Rhein-Sieg,http://www.h-brs.de
http://www.wikidata.org/entity/Q1622123,Hochschule Magdeburg-Stendal,http://www.hs-magdeburg.de/
http://www.wikidata.org/entity/Q1622183,Hochschule für Gesundheit,http://www.hochschule-bochum.de/en/
http://www.wikidata.org/entity/Q1622183,Hochschule für Gesundheit,http://www.hs-gesundheit.de/
http://www.wikidata.org/entity/Q1622203,Hochschule für Musik Mainz,http://www.hfm-mainz.de
http://www.wikidata.org/entity/Q1622206,Hochschule für Musik Trossingen,http://www.mh-trossingen.de//
http://www.wikidata.org/entity/Q685557,Technische Universität Dortmund,https://www.tu-dortmund.de/
http://www.wikidata.org/entity/Q835662,Universität Ulm,https://www.uni-ulm.de/en/
http://www.wikidata.org/entity/Q54096,Universität zu Köln,https://uni-koeln.de
http://www.wikidata.org/entity/Q895796,Hochschule für Schauspielkunst „Ernst Busch“ Berlin,https://www.hfs-berlin.de/
http://www.wikidata.org/entity/Q896116,Staatliche Hochschule für Gestaltung Karlsruhe,http://www.hfg-karlsruhe.de
http://www.wikidata.org/entity/Q154561,Friedrich-Schiller-Universität Jena,https://www.uni-jena.de/
http://www.wikidata.org/entity/Q159895,Universität Rostock,https://www.uni-rostock.de/
http://www.wikidata.org/entity/Q312578,Hochschule für Musik und Theater „Felix Mendelssohn Bartholdy“ Leipzig,https://www.hmt-leipzig.de/
http://www.wikidata.org/entity/Q317087,Universität zu Lübeck,http://www.uni-luebeck.de/
http://www.wikidata.org/entity/Q322938,Staatliche Akademie der Bildenden Künste Karlsruhe,http://www.kunstakademie-karlsruhe.de
http://www.wikidata.org/entity/Q447953,Bergische Universität Wuppertal,http://www.uni-wuppertal.de
http://www.wikidata.org/entity/Q455331,"Hochschule für Musik, Theater und Medien Hannover",https://www.hmtm-hannover.de/
http://www.wikidata.org/entity/Q2646956,Alice Salomon Hochschule Berlin,https://www.ash-berlin.eu/
http://www.wikidata.org/entity/Q1109185,Collegium Borromaeum (Freiburg im Breisgau),http://www.cb-freiburg.de/
http://www.wikidata.org/entity/Q7109839,Q7109839,http://www.oss.uni-frankfurt.de/
http://www.wikidata.org/entity/Q1922219,Merz Akademie,http://www.merz-akademie.de/
http://www.wikidata.org/entity/Q883471,Steinbeis-Hochschule Berlin,http://www.steinbeis-hochschule.de/
http://www.wikidata.org/entity/Q15850244,Technische Hochschule Leipzig,
http://www.wikidata.org/entity/Q2120222,Pädagogische Hochschule Weingarten,http://www.ph-weingarten.de/
http://www.wikidata.org/entity/Q533069,Herzogliches Georgianum,http://www.herzoglichesgeorgianum.de/
http://www.wikidata.org/entity/Q17403358,Technische Hochschule Berlin,
http://www.wikidata.org/entity/Q27973252,Duale Hochschule Gera-Eisenach,http://www.dhge.de
http://www.wikidata.org/entity/Q153978,Eberhard Karls Universität Tübingen,http://www.uni-tuebingen.de/
http://www.wikidata.org/entity/Q2324294,Staatliche Akademie der Bildenden Künste Stuttgart,http://www.abk-stuttgart.de
http://www.wikidata.org/entity/Q191426,Zeppelin Universität,http://www.zeppelin-university.com
http://www.wikidata.org/entity/Q895645,Philosophisch-Theologische Hochschule Sankt Georgen,http://www.sankt-georgen.de/
http://www.wikidata.org/entity/Q1683524,Kühne Logistics University,http://www.the-klu.org
http://www.wikidata.org/entity/Q41313704,Pädagogische Hochschule der Universität,
